Primary Site,Extension Recode,Node Recode,Stage
"160-169,180-189,199,209,500-509,530-549,619",0,"0,9",0
"160-169,540-549",1-4,"0,9",1
"180-189,199,209",1-5,"0,9",1
"500-509,530-539",1,"0,9",1
530-539,2,"0,9",1
619,1-3,"0,9",1
160-169,5-7,"0,9",2
"180-189,199,209",6-7,"0,9",2
500-509,"2-5,7","0,9",2
530-539,3-7,"0,9",2
540-549,5-6,"0,9",2
619,4-7,"0,9",2
160-169,1-4,"1-2,5",2
"180-189,199,209",1-5,1,2
209,1-5,5,2
500-509,1,1-2,2
530-539,1-2,1,2
540-549,1-4,1,2
619,1-3,"1-2,4-5",2
160-169,5-7,"1-2,5",2
"180-189,199,209",6-7,1,2
209,6-7,5,2
500-509,"2-5,7",1-2,2
530-539,3-7,1,2
540-549,5-6,1,2
619,4-7,"1-2,4-5",2
"160-169,500-509,619",8,0-2,4
"160-169,199,209",8,5-9,4
"160-169,209,530-539,619","1-7,9",6,4
"160-169,180-189,209,530-539,619","1-7,9",7,4
"180-189,199,209,530-549",8,0-1,4
180-189,8,7-9,4
199,"1-7,9",5-7,4
500-509,6,"0-2,6-7,9",4
500-509,8,"6-7,9",4
500-509,"1-5,7",6-7,4
"500-509,540-549",9,6-7,4
530-549,8,6-9,4
540-549,1-6,6-7,4
619,8,4-9,4
"160-169,180-189,199,209,530-549",9,"0,8",9
"160-169,180-189,199,209,500-509,530-549",9,9,9
"160-169,180-189,199,209,530-539,619",1-7,8,9
160-169,9,1-2,9
"160-169,209",9,5,9
"180-189,199,209,530-549",9,1,9
"420-424,760-779,809",0-99,0-99,9
"500-509,619",9,0-2,9
540-549,1-6,8,9
619,9,"4-5,8-9",9
