Primary Site,EOD 13dig Digit 5,EOD 13dig Digit 6,EOD 13dig Digit 9,EOD 13dig Digit 10,EOD 13dig Digit 11,EOD 13dig Digit 12,EOD 13dig Digit 13,Stage
440-447,1,0,"0-1,3,-","0,-",0,0,0,0
440-447,"2-4,6,7",0,"0-1,3,-","0,-",0,0,0,1
440-447,"5,8,9",0,"0-1,3,-","0,-",0,0,0,2
440-447,"2-9,-",1-4,"0-1,3,-","0,-",0,0,0,2
440-447,"2-4,6,7",0,"2,4","0,-",0,0,0,2
440-447,"2-4,6,7",0,"0-4,-","1,2",0,0,0,2
440-447,"5,8,9",0,"2,4","0,-",0,0,0,2
440-447,"5,8,9",0,"0-4,-","1,2",0,0,0,2
440-447,"2-9,-",1-4,"2,4","0,-",0,0,0,2
440-447,"2-9,-",1-4,"0-4,-","1,2",0,0,0,2
440-447,"2-9,-",0-4,"0-4,-","0-2,-","0,1",1,0,4
440-447,"2-9,-",0-4,"0-4,-","0-2,-",1,0,0,4
440-447,"2-9,-",0-4,"0-4,-","0-2,-",0-1,0-1,"1-9,&",4
440-447,-,0,"0-1,3,-","0,-",0,0,0,9
440-447,-,0,"2,4","0,-",0,0,0,9
440-447,-,0,"0-4,-","1,2",0,0,0,9
"510-519,600-609","1-9,-","0-9,-,&","0-9,-,&","0-9,-,&","0-9,-,&","0-9,-,&","0-9,-,&",9
