Primary Site,Histology,EOD 2dig Ext Recode,EOD 2dig Node Recode,Historic Stage
"160-169,180-189,199,209,619",8000-9589,0,"0,9",0
160-169,8000-9589,1-4,"0,9",1
"180-189,199,209",8000-9589,1-5,"0,9",1
619,8000-9589,1-3,"0,9",1
160-169,8000-9589,5-7,"0,9",2
"180-189,199,209",8000-9589,6-7,"0,9",2
619,8000-9589,4-7,"0,9",2
160-169,8000-9589,1-4,"1-2,5",2
"180-189,199",8000-9589,1-5,1,2
209,8000-9589,1-5,"1,5",2
619,8000-9589,1-3,"1-2,4-5",2
160-169,8000-9589,5-7,"1-2,5",2
"180-189,199",8000-9589,6-7,1,2
209,8000-9589,6-7,"1,5",2
619,8000-9589,4-7,"1-2,4-5",2
160-169,8000-9589,8,"0-2,5-9",4
"160-169,209,619",8000-9589,"1-7,9",6-7,4
180-189,8000-9589,8,"0-1,7-9",4
180-189,8000-9589,"1-7,9",7,4
"199,209",8000-9589,8,"0-1,5-9",4
199,8000-9589,"1-7,9",5-7,4
619,8000-9589,8,"0-2,4-9",4
160-169,8000-9589,9,"0-2,5,8-9",9
"160-169,180-189,199,209,619",8000-9589,1-7,8,9
"180-189,199",8000-9589,9,"0-1,8-9",9
209,8000-9589,9,"0-1,5,8-9",9
619,8000-9589,9,"0-2,4-5,8-9",9
